manufacturer;name;category;product_url;price;image_url;description;sku;currency;stock;ProductWeight;identifier;net_price
Duna-r;"PAPRIKA JULIANUS F1 250SZ";"Vetőmag > Profi zöldségfélék";https://www.online-gazda.hu/paprika-julianus-f1-250sz_p21;2400;https://www.online-gazda.hu/img/products//medium/PAPRIKA_JULIANUS_F1_250SZ.jpg;"Julianus F.1 | 1.000 szem | paprika vetőmag. Folytonnövő, csüngő, kúpos, enyhén zöldes fehér, édes, nagy, szabályos bogyójú hibrid. A termés húsa vastag, tömege 110-140 g, szedéséretten fehér, teljesen beérve piros. Ízközei középhosszúak, növekedési erélye és hozama nagy. A kalciumhiányra közepesen érzékeny, stressztűrő és megújuló-képessége jó, bogyóképzése folyamatos, szélsőséges körülmények közt is jól köt. A bogyók a termesztés végére nem aprózódnak el. Az intenzív termesztés fajtája; hajtatásra és szabadföldi termesztésre alkalmas. Ágrendszere vastag, erős, ami a szabadföldi termesztésben előnyt jelent. Nagy és extra terméseit a főszáron és annak közelében hozza. Felkötözve egy vagy két szálra metszve, illetve kordon mellett termelhető legeredményesebben. Februártól ültethető fűtött, majd fűtetlen termesztő berendezésbe, folyamatosan július végéig. Tavasszal 4-4,5, később 5-5,5 tövet ültessünk nm-ként. Termőképesség, termésméret és minőség tekintetében a legjobb eredményt adja. A termések hosszú ideig tarthatók tövön és pulton is. Egyedülálló tulajdonsága, hogy lassan pirosodik be. Exportra kiváló termék.  Tápanyagutánpótlás:  Kalciumhiány-érzékenysége a fóliasátor május végi árnyékolásával és megfelelő kalcium-utánpótlással tökéletesen ellensúlyozható. A vegetatív hajlamot serkentő tényezőket - túlöntözés, a talaj túlzott nitrogéntartalma - kerülni kell, mert ezek az ízközök nyúlásához vezethetnek. Nagy termőképessége miatt szedések idején, a kritikus időszakokban szükség lehet a tápanyag heti adagjának 2,5-3 dkg/nm-re emelésére. &nbsp;";3049;HUF;0.00;"4 g";21;1890
Bejo;"PETREZSELYEM ARAT 500GR";"Vetőmag > Profi zöldségfélék";https://www.online-gazda.hu/petrezselyem-arat-500gr_p22;29300;https://www.online-gazda.hu/img/products//medium/PETREZSELYEM_ARAT_500GR.jpg;"&nbsp; &nbsp; Arat Hosszú félhosszú köztes tipusú, szépen kitelt, ék alakú,hófehér színű gyökértest. Fásodásra, pudvásodásra nem hajlamos. Lombozata erős,egészséges Felhasználása: friss fogyasztásra és tárolásra egyaránt alkalmas. Szervestrágyázást ne végezzünk a termesztése előtt. A talajt már ősszel, 30-40cm mélyen szántsuk meg, és készítsük elő a tavaszi vetéshez. Vetés: márciusban,sekélyen vessük 1,5-2cm mélyen, 25-30cm sortávolságra. Kelése 3-4 hetet igényel. Kelés után 3-4 leveles állapotban 5-6cm-re egyeljük ki. Friss fogyasztásra júliustól szedhető, tárolásra okt.- nov.-ben szedhető.&nbsp;";3050;HUF;0.00;"500 g";22;23071
"ATC Trade Rt.";"MÉRŐSZALAG 50M VíZIMÉRTÉKKEL DB";"Szerszám > Egyéb szerszám";https://www.online-gazda.hu/meroszalag-50m-vizimertekkel-db_p23;2950;https://www.online-gazda.hu/img/products//medium/MEROSZALAG_50M_ViZIMERTEKKEL_DB.JPG;;3051;HUF;0.00;"1.000 kg";23;2323
Bros;"BROS VAKONDRIASZTÓ ULTRAHANGOS DB";"Rágcsáló és élősködőirtók > Háztartási rovar és rágcsálóirtók";https://www.online-gazda.hu/bros-vakondriaszto-ultrahangos-db_p24;5650;https://www.online-gazda.hu/img/products//medium/BROS_VAKONDRIASZTO_ULTRAHANGOS_DB.jpg;"Hatásosan riasztja el a vakondokat, mezei egereket és más rágcsálókat. Környezetbarát módon működik, vegyszerek bevetése nélkül. 400 Hz frekvenciát bocsájt ki. A talaj fajtájától függően 800-1000 m2 terület védhető vele.";3057;HUF;0.00;"100 g";24;4449
"Szolnoki Vegyiművek";"RAGASZTÓ TECHNOBOND FA        125GR DB";"Barkács eszközök > Ragasztó";https://www.online-gazda.hu/ragaszto-technobond-fa-125gr-db_p25;360;https://www.online-gazda.hu/img/products//medium/RAGASZTO_TECHNOBOND_FA_125GR_DB.jpg;"A Szolvegy által gyártott Technobond gyorsan száradó,nagy kötéserősségű, univerzális, beltéri PVAc faragasztó.A ragasztó felhasználható beltéri, nedvesség hatásának ki nem tett faipari termékek gyártásához, bútoripari csapos kötések ragasztásához.  Vízbázisú PVAc-diszperzió Fehér folyékony Kiemelkedően jól csiszolható, a csiszolószalagot kíméli. Nem mérgező és nem tűzveszélyes.";3058;HUF;0.00;"125 g";25;283
Vitlab;"MÉRŐKANCSÓ 500ML PP VEGYÁLLÓ DB";"Műanyag termékek > Mérőedények";https://www.online-gazda.hu/merokancso-500ml-pp-vegyallo-db_p26;1500;https://www.online-gazda.hu/img/products//medium/MEROKANCSO_500ML_PP_VEGYALLO_DB.JPG;;3063;HUF;0.00;"200 g";26;1181
Vitlab;"MÉRŐKANCSÓ 1L PP VEGYÁLLÓ DB";"Műanyag termékek > Mérőedények";https://www.online-gazda.hu/merokancso-1l-pp-vegyallo-db_p27;2150;https://www.online-gazda.hu/img/products//medium/MEROKANCSO_1L_PP_VEGYALLO_DB.JPG;;3065;HUF;0.00;"200 g";27;1693
Demar;"PAPUCS EVA ZÖLD 41-46 PÁR";"Munkavédelmi felszerelés > Védő lábbeli";https://www.online-gazda.hu/papucs-eva-zold-41-46-par_p29;1720;https://www.online-gazda.hu/img/products//medium/PAPUCS_EVA_ZOLD_41_46_PAR.JPG;"CAMMINARE EVA CLOG ZÖLD -Extra könnyű, kiváló hőszigetelő képesség, különösen erős ellenálló anyag -EVA technológia -maximális hideg elleni védelem, csúszásmentes talp, 100%-os komfort érzet, vízálló.";3084;HUF;0.00;"400 g";29;1354
"STREND PRO";"VíZPUMPAFOGÓ 250MM DB";"Szerszám > Egyéb szerszám";https://www.online-gazda.hu/vizpumpafogo-250mm-db_p30;3235;https://www.online-gazda.hu/img/products//medium/ViZPUMPAFOGO_250MM_DB.JPG;"Vízpumpafogó 250 mm.&nbsp;";2812;HUF;0.00;"300 g";30;2547
"Extol Premium";"GYORSCSATLAKOZÓ KOMPRESSZORHOZ 1/2""6MM/ DB";"Barkács eszközök > Egyéb barkács eszközök";https://www.online-gazda.hu/gyorscsatlakozo-kompresszorhoz-1-2-6mm-db_p31;430;https://www.online-gazda.hu/img/products//medium/GYORSCSATLAKOZO_KOMPRESSZORHOZ_1_2_6MM_DB.jpg;"gyors csatlakozó-dugó, tömlővéggel, 1/2&#34;, 6 mm, nikkelezett réz";2729;HUF;0.00;"50 g";31;339
"Extol Premium";"GYORSCSATLAKOZÓ  KOMRESSZORHOZ 1/4"" 6MM DB";"Barkács eszközök > Egyéb barkács eszközök";https://www.online-gazda.hu/gyorscsatlakozo-komresszorhoz-1-4-6mm-db_p32;340;https://www.online-gazda.hu/img/products//medium/GYORSCSATLAKOZO_KOMRESSZORHOZ_1_4_6MM_DB.jpg;;2741;HUF;0.00;"50 g";32;268
"MADAL BAL";"KREPPSZALAG 50*48MM DB";"Csomagolóanyagok > Csomagolóanyag";https://www.online-gazda.hu/kreppszalag-50-48mm-db_p33;450;https://www.online-gazda.hu/img/products//medium/KREPPSZALAG_50_48MM_DB.JPG;;2743;HUF;0.00;"200 g";33;354
"MADAL BAL";"LAPOSVÉSŐ  300MM DB";"Szerszám > Egyéb szerszám";https://www.online-gazda.hu/laposveso-300mm-db_p34;530;https://www.online-gazda.hu/img/products//medium/LAPOSVESO_300MM_DB.JPG;"Kézvédővel, 300 mm, 15 mm széles";2762;HUF;0.00;"500 g";34;417
"Extol Premium";"VÉDŐSZEMÜVEG EXTOL SÁRGA DB";"Munkavédelmi felszerelés > Védő álarc";https://www.online-gazda.hu/vedoszemuveg-extol-sarga-db_p35;390;https://www.online-gazda.hu/img/products//medium/VEDOSZEMUVEG_EXTOL_SARGA_DB.jpg;;2770;HUF;0.00;"100 g";35;307
"Extol Premium";"VÉDŐSZEMÜVEG EXTOL KÉK DB";"Munkavédelmi felszerelés > Védő álarc";https://www.online-gazda.hu/vedoszemuveg-extol-kek-db_p36;750;https://www.online-gazda.hu/img/products//medium/VEDOSZEMUVEG_EXTOL_KEK_DB.jpg;;2782;HUF;0.00;"100 g";36;591
"Extol Premium";"VÉDŐSZEMÜVEG EXTOL          97303 DB";"Munkavédelmi felszerelés > Védő álarc";https://www.online-gazda.hu/vedoszemuveg-extol-97303-db_p37;340;https://www.online-gazda.hu/img/products//medium/VEDOSZEMUVEG_EXTOL_97303_DB.JPG;;2784;HUF;0.00;"100 g";37;268
"Extol Premium";"FŰNYIRÓ OLLÓ 12 VÁLTOZTATHATÓ POZíCIÓS DB";"Szerszám > Olló, metszőolló";https://www.online-gazda.hu/funyiro-ollo-12-valtoztathato-pozicios-db_p38;2600;https://www.online-gazda.hu/img/products//medium/FUNYIRO_OLLO_12_VALTOZTATHATO_POZiCIOS_DB.jpg;"Műszaki információk: A 12 pozícióba állítható vágóél 360 fokban elforgatható a szűk helyen - például fal vagy szegély közelében - való könnyebb munkavégzés érdekében. lezárható fűolló, a biztonságos használat és tárolás érdekében. kiváló minőségű, a növényi maradványok rátapadásának megakadályozása érdekében felületkezelt acél éllel lett gyártva a fűnyíró olló.";2792;HUF;0.00;"500 g";38;2047
"Extol Premium";"VÁGÓKORONG  ACÉL 125X2.5X22 KÉK DB";"Barkács eszközök > Vágókorongok";https://www.online-gazda.hu/vagokorong-acel-125x2-5x22-kek-db_p39;245;https://www.online-gazda.hu/img/products//medium/VAGOKORONG_ACEL_125X2_5X22_KEK_DB.jpg;"&nbsp;Ideális vas, általános szerkezeti acélok darabolására, lemezek, laposvasak, rudak, csövek vágására. Kemény, kiváló forgácsolási képességű, hosszú élettartamú vágókorong. Könnyedén és gyorsan dolgozhat a vágókorong segítségével.&nbsp;";2795;HUF;0.00;"65 g";39;193
"Extol Premium";"VÁGÓKORONG  ACÉL 115X1X22 KÉK DB";"Barkács eszközök > Vágókorongok";https://www.online-gazda.hu/vagokorong-acel-115x1x22-kek-db_p40;220;https://www.online-gazda.hu/img/products//medium/VAGOKORONG_ACEL_115X1X22_KEK_DB.jpg;"&nbsp;Ideális vas, általános szerkezeti acélok darabolására, lemezek, laposvasak, rudak, csövek vágására. Kemény, kiváló forgácsolási képességű, hosszú élettartamú vágókorong. Könnyedén és gyorsan dolgozhat a vágókorong segítségével.&nbsp;";2796;HUF;0.00;"30 g";40;173
"Terracotta Mo.Kft.";"LOCSOLÓKANNA 4.5L ÉVA DB";"Műanyag termékek > Kannák";https://www.online-gazda.hu/locsolokanna-4-5l-eva-db_p41;750;https://www.online-gazda.hu/img/products//medium/LOCSOLOKANNA_4_5L_EVA_DB.JPG;;2927;HUF;0.00;"500 g";41;591
"Extol Premium";"KALAPÁCS 200GR FA NYÉL DB";"Szerszám > Egyéb szerszám";https://www.online-gazda.hu/kalapacs-200gr-fa-nyel-db_p42;560;https://www.online-gazda.hu/img/products//medium/KALAPACS_200GR_FA_NYEL_DB.JPG;;2822;HUF;0.00;"300 g";42;441
"Extol Premium";"VÁGÓKORONG  FÉM 115X2.5X22   EXTOL DB";"Barkács eszközök > Vágókorongok";https://www.online-gazda.hu/vagokorong-fem-115x2-5x22-extol-db_p43;225;https://www.online-gazda.hu/img/products//medium/VAGOKORONG_FEM_115X2_5X22_EXTOL_DB.jpg;"&nbsp;Ideális vas, általános szerkezeti acélok darabolására, lemezek, laposvasak, rudak, csövek vágására. Kemény, kiváló forgácsolási képességű, hosszú élettartamú vágókorong. Könnyedén és gyorsan dolgozhat a vágókorong segítségével.&nbsp;";2836;HUF;0.00;"70 g";43;177
"Extol Premium";"VÁGÓKORONG  FÉM 115X1X22    EXTOL DB";"Barkács eszközök > Vágókorongok";https://www.online-gazda.hu/vagokorong-fem-115x1x22-extol-db_p44;185;https://www.online-gazda.hu/img/products//medium/VAGOKORONG_FEM_115X1X22_EXTOL_DB.jpg;"&nbsp;Ideális vas, általános szerkezeti acélok darabolására, lemezek, laposvasak, rudak, csövek vágására. Kemény, kiváló forgácsolási képességű, hosszú élettartamú vágókorong. Könnyedén és gyorsan dolgozhat a vágókorong segítségével.&nbsp;";2838;HUF;0.00;"30 g";44;146
"Topcorn Kutatási-Fejlesztési És Kereskedelmi Kft.";"CSEMEGEKUKORICA GYÖNGYHAJNAL 1000 SZEM";"Vetőmag > Profi zöldségfélék";https://www.online-gazda.hu/csemegekukorica-gyongyhajnal-1000-szem_p45;3700;https://www.online-gazda.hu/img/products//medium/CSEM_KUKORICA_GYONGYHAJNAL_1000SZ.JPG;"Igen korai érésű nugát típusú étkezési kukorica hibrid. Különleges finom ízű desszertkukorica friss fogyasztásra. Különleges típusú (nugat+), vírusellenálló fajtaújdonság, a Gyöngymazsola méltó utódja. Rendkívüli koraisága ellenére igen nagy csőméretű. A frissen szedett termés különlegesen finom ízű. A nagy csövek kineveléséhez ritkább vetés és egyenletes, bőséges vízellátás biztosítása szükséges. Akár már április elejétől is vethető.";2855;HUF;0.00;"200 g";45;2913
Tidal;"LAKAT TIDAL 50MM DB";"Szerszám > Egyéb szerszám";https://www.online-gazda.hu/lakat-tidal-50mm-db_p46;630;https://www.online-gazda.hu/img/products//medium/LAKAT_TIDAL_50MM_DB_5be2a548ddcd5.jpg;;2859;HUF;0.00;"300 g";46;496
"TT .EURO-KFT.";"LAKAT BIZTONSÁGI 90MM DB";"Szerszám > Egyéb szerszám";https://www.online-gazda.hu/lakat-biztonsagi-90mm-db_p47;2300;https://www.online-gazda.hu/img/products//medium/LAKAT_BIZTONSAGI_90MM_DB.jpg;;2865;HUF;0.00;"600 g";47;1811
Tidal;"LAKAT BIZTONSÁGI 70MM DB";"Szerszám > Egyéb szerszám";https://www.online-gazda.hu/lakat-biztonsagi-70mm-db_p48;2150;https://www.online-gazda.hu/img/products//medium/LAKAT_BIZTONSAGI_70MM_DB.jpg;;2866;HUF;0.00;"500 g";48;1693
"STREND PRO";"METSZŐOLLÓ STEND PRO 2110176 DB";"Szerszám > Olló, metszőolló";https://www.online-gazda.hu/metszoollo-stend-pro-2110176-db_p49;3590;https://www.online-gazda.hu/img/products//medium/METSZOOLLO_STEND_PRO_2110176_DB.jpg;;2874;HUF;0.00;"250 g";49;2827
"Seminis ";"PAPRIKA COACH F1     100 SZEM";"Vetőmag > Profi zöldségfélék";https://www.online-gazda.hu/paprika-coach-f1-100-szem_p50;3790;https://www.online-gazda.hu/img/products//medium/PAPRIKA_COACH_F1_100_SZEM_5dee1a07ba2c0.jpg;"Erős növekedésű, hosszú ízközű kápia paprika. Kitűnő ízű, zöldből ragyogó pirosba érő, nagy termőképességű, igen hosszú, nagyméretű. Hideg hajtatásra és szabadföldi termesztésre alkalmas. Rezisztencia: HR Tm: 0. Típus: kápia.";2883;HUF;0.00;"2 g";50;2984
Bradas;"BILINCS GBS 48-51 DB";"Öntözés technika > Bilincsek ";https://www.online-gazda.hu/bilincs-gbs-48-51-db_p51;395;https://www.online-gazda.hu/img/products//medium/BILINCS_GBS_48_51_DB.jpg;"Anyaga: szénacél alucink ötvözet (W1) 21 mm széles";2925;HUF;0.00;"30 g";51;311
"Armeti Kft.";"FÁTYOLFÓLIA 3.2M*5M FEKETE     50GR TEK";"Fólia > Talajtakaró fólia";https://www.online-gazda.hu/fatyolfolia-3-2m-5m-fekete-50gr-tek_p52;1950;https://www.online-gazda.hu/img/products//medium/FATYOLFOLIA_3_2M_5M_FEKETE_50GR_TEK.JPG;"Alkalmas járdák, garázsbejárók, zúzottkő utak, talajvízelvezető szivárgók, drénárkok, szikkasztók, medencék, ill. kerti tavak telepítéséhez. Csökkenti a gyomosodást. Meggátolja a zúzottkő talajba keveredését, védi a tófóliákat. Jellemzői: ● Gyorsítja a növekedést és növeli a termékenységet. ● Átengedi a vizet és a levegőt. ● Optimális mikroklímát biztosít. ● Fenntartja a talajnedvességet. ● Megakadályozza a gyomok növekedését. ● Környezetbarát";2926;HUF;0.00;"500 g";52;1535
Demar;"PAPUCS EVA ZÖLD 36-40 PÁR";"Munkavédelmi felszerelés > Védő lábbeli";https://www.online-gazda.hu/papucs-eva-zold-36-40-par_p53;1880;https://www.online-gazda.hu/img/products//medium/PAPUCS_EVA_ZOLD_36_40_PAR.JPG;"CAMMINARE EVA CLOG ZÖLD -Extra könnyű, kiváló hőszigetelő képesség, különösen erős ellenálló anyag -EVA technológia -maximális hideg elleni védelem, csúszásmentes talp, 100%-os komfort érzet, vízálló.";3085;HUF;0.00;"300 g";53;1480
"Szolnoki Vegyiművek";"RAGASZTÓ TECHNOBOND FA         60GR DB";"Barkács eszközök > Ragasztó";https://www.online-gazda.hu/ragaszto-technobond-fa-60gr-db_p54;260;https://www.online-gazda.hu/img/products//medium/RAGASZTO_TECHNOBOND_FA_60GR_DB.jpg;"A Szolvegy által gyártott Technobond gyorsan száradó,nagy kötéserősségű, univerzális, beltéri PVAc faragasztó.A ragasztó felhasználható beltéri, nedvesség hatásának ki nem tett faipari termékek gyártásához, bútoripari csapos kötések ragasztásához.  Vízbázisú PVAc-diszperzió Fehér folyékony Kiemelkedően jól csiszolható, a csiszolószalagot kíméli. Nem mérgező és nem tűzveszélyes.";3099;HUF;0.00;"60 g";54;205
Cerva;"KESZTYŰ VEGYSZERES CASPIA PÁR";"Munkavédelmi felszerelés > Kesztyűk";https://www.online-gazda.hu/kesztyu-vegyszeres-caspia-par_p55;620;https://www.online-gazda.hu/img/products//medium/KESZTYU_VEGYSZERES_CASPIA_PAR.jpg;"Természetes latex alapú védőkesztyű, 0,7 mm vastagságú neoprén bevonattal. Belseje velúrozott, a tenyérrész és az ujjak felülete a csúszásgátló mintázat miatt kiváló fogásbiztonságot ad.";3339;HUF;0.00;"100 g";55;488
"Armeti Kft.";"FÁTYOLFÓLIA 3.2M*10M FEKETE     50GR TEK";"Fólia > Talajtakaró fólia";https://www.online-gazda.hu/fatyolfolia-3-2m-10m-fekete-50gr-tek_p56;3450;https://www.online-gazda.hu/img/products//medium/FATYOLFOLIA_3_2M_10M_FEKETE_50GR_TEK.JPG;"Alkalmas járdák, garázsbejárók, zúzottkő utak, talajvízelvezető szivárgók, drénárkok, szikkasztók, medencék, ill. kerti tavak telepítéséhez. Csökkenti a gyomosodást. Meggátolja a zúzottkő talajba keveredését, védi a tófóliákat. Jellemzői: ● Gyorsítja a növekedést és növeli a termékenységet. ● Átengedi a vizet és a levegőt. ● Optimális mikroklímát biztosít. ● Fenntartja a talajnedvességet. ● Megakadályozza a gyomok növekedését. ● Környezetbarát";3294;HUF;0.00;"300 g";56;2717
"Armeti Kft.";"FÁTYOLFÓLIA 1.6M*5 M FEKETE   50GR DB";"Fólia > Talajtakaró fólia";https://www.online-gazda.hu/fatyolfolia-1-6m-5-m-fekete-50gr-db_p57;880;https://www.online-gazda.hu/img/products//medium/FATYOLFOLIA_1_6M_5_M_FEKETE_50GR_DB.JPG;"Alkalmas járdák, garázsbejárók, zúzottkő utak, talajvízelvezető szivárgók, drénárkok, szikkasztók, medencék, ill. kerti tavak telepítéséhez. Csökkenti a gyomosodást. Meggátolja a zúzottkő talajba keveredését, védi a tófóliákat. Jellemzői: ● Gyorsítja a növekedést és növeli a termékenységet. ● Átengedi a vizet és a levegőt. ● Optimális mikroklímát biztosít. ● Fenntartja a talajnedvességet. ● Megakadályozza a gyomok növekedését. ● Környezetbarát";3295;HUF;0.00;"300 g";57;693
"Albert Kerbl Gmbh";"RÁGCSÁLÓ RIASZTÓ ULTRAHANGOS ADAPTER DB";"Rágcsáló és élősködőirtók > Háztartási rovar és rágcsálóirtók";https://www.online-gazda.hu/ragcsalo-riaszto-ultrahangos-adapter-db_p58;5680;https://www.online-gazda.hu/img/products//medium/RAGCSALO_RIASZTO_ULTRAHANGOS_ADAPTER_DB.jpg;"Ultrahangos riasztó nemcsak egerek és patkányok ellen, hanem csótányok és egyéb kártevők ellen is. A készülék 350 m2 terület levédésére ajánlott. Csak belső terekben használható.";3297;HUF;1.00;"500 g";58;4472
"Poliext ";"TEFLON SZALAG 19MM*15M DB";"Barkács eszközök > Egyéb barkács eszközök";https://www.online-gazda.hu/teflon-szalag-19mm-15m-db_p59;400;https://www.online-gazda.hu/img/products//medium/TEFLON_SZALAG_19MM_15M_DB.JPG;"Teflonszalag vízhez, -Gázhoz - Tekercs hossza: 15&nbsp;m - Teflonszalag szélessége: 19&nbsp;mm - Tömítőanyag vastagsága: 0,2&nbsp;mm - Jó minőségű, nem szakad - Fagy- és hőálló szigetelőanyag: -190 C Fok - +320 C Fok - Használata: enyhén húzva,menetemelkedéssel megegyező irányba feltekerve";3299;HUF;0.00;"50 g";59;315
